name,tag1,tag2
kabul,Hear your business on local Kabul radio stations,Cheer for local Kabul!
tirana,Hear your business on local Tirana radio stations,Cheer for local Tirana!
algiers,Faites entendre votre entreprise sur les stations locales de Algiers!,Allez l'équipe locale de Algiers!
andorra__la__vella,Hear your business on local Andorra la Vella radio stations,Cheer for local Andorra la Vella!
luanda,Hear your business on local Luanda radio stations,Cheer for local Luanda!
buenos__aires,¡Haz que tu negocio se escuche en las emisoras locales de Buenos Aires!,¡Apoya al equipo local de Buenos Aires!
yerevan,Hear your business on local Yerevan radio stations,Cheer for local Yerevan!
canberra,Hear your business on local Canberra radio stations,Cheer for local Canberra!
vienna,Hören Sie Ihr Unternehmen auf lokalen Radiosendern in Vienna!,Unterstützen Sie das lokale Team von Vienna!
baku,Hear your business on local Baku radio stations,Cheer for local Baku!
nassau,Hear your business on local Nassau radio stations,Cheer for local Nassau!
manama,Hear your business on local Manama radio stations,Cheer for local Manama!
dhaka,Hear your business on local Dhaka radio stations,Cheer for local Dhaka!
bridgetown,Hear your business on local Bridgetown radio stations,Cheer for local Bridgetown!
minsk,Hear your business on local Minsk radio stations,Cheer for local Minsk!
brussels,Faites entendre votre entreprise sur les stations locales de Brussels!,Allez l'équipe locale de Brussels!
belmopan,Hear your business on local Belmopan radio stations,Cheer for local Belmopan!
portonovo,Faites entendre votre entreprise sur les stations locales de Porto-Novo!,Allez l'équipe locale de Porto-Novo!
thimphu,Hear your business on local Thimphu radio stations,Cheer for local Thimphu!
sucre,¡Haz que tu negocio se escuche en las emisoras locales de Sucre!,¡Apoya al equipo local de Sucre!
sarajevo,Hear your business on local Sarajevo radio stations,Cheer for local Sarajevo!
gaborone,Hear your business on local Gaborone radio stations,Cheer for local Gaborone!
brasília,Faça seu negócio ser ouvido nas rádios locais de Brasília!,Torça pelo time local de Brasília!
bandar__seri__begawan,Hear your business on local Bandar Seri Begawan radio stations,Cheer for local Bandar Seri Begawan!
sofia,Hear your business on local Sofia radio stations,Cheer for local Sofia!
ouagadougou,Faites entendre votre entreprise sur les stations locales de Ouagadougou!,Allez l'équipe locale de Ouagadougou!
gitega,Faites entendre votre entreprise sur les stations locales de Gitega!,Allez l'équipe locale de Gitega!
phnom__penh,Hear your business on local Phnom Penh radio stations,Cheer for local Phnom Penh!
yaoundé,Faites entendre votre entreprise sur les stations locales de Yaoundé!,Allez l'équipe locale de Yaoundé!
ottawa,Faites entendre votre entreprise sur les stations locales de Ottawa!,Allez l'équipe locale de Ottawa!
praia,Faça seu negócio ser ouvido nas rádios locais de Praia!,Torça pelo time local de Praia!
bangui,Faites entendre votre entreprise sur les stations locales de Bangui!,Allez l'équipe locale de Bangui!
ndjamena,Faites entendre votre entreprise sur les stations locales de N'Djamena!,Allez l'équipe locale de N'Djamena!
santiago,¡Haz que tu negocio se escuche en las emisoras locales de Santiago!,¡Apoya al equipo local de Santiago!
beijing,Hear your business on local Beijing radio stations,Cheer for local Beijing!
bogotá,¡Haz que tu negocio se escuche en las emisoras locales de Bogotá!,¡Apoya al equipo local de Bogotá!
moroni,Faites entendre votre entreprise sur les stations locales de Moroni!,Allez l'équipe locale de Moroni!
kinshasa,Hear your business on local Kinshasa radio stations,Cheer for local Kinshasa!
brazzaville,Faites entendre votre entreprise sur les stations locales de Brazzaville!,Allez l'équipe locale de Brazzaville!
san__josé,¡Haz que tu negocio se escuche en las emisoras locales de San José!,¡Apoya al equipo local de San José!
zagreb,Hear your business on local Zagreb radio stations,Cheer for local Zagreb!
havana,¡Haz que tu negocio se escuche en las emisoras locales de Havana!,¡Apoya al equipo local de Havana!
nicosia,Hear your business on local Nicosia radio stations,Cheer for local Nicosia!
prague,Hear your business on local Prague radio stations,Cheer for local Prague!
copenhagen,Hear your business on local Copenhagen radio stations,Cheer for local Copenhagen!
djibouti,Faites entendre votre entreprise sur les stations locales de Djibouti!,Allez l'équipe locale de Djibouti!
roseau,Hear your business on local Roseau radio stations,Cheer for local Roseau!
santo__domingo,¡Haz que tu negocio se escuche en las emisoras locales de Santo Domingo!,¡Apoya al equipo local de Santo Domingo!
quito,¡Haz que tu negocio se escuche en las emisoras locales de Quito!,¡Apoya al equipo local de Quito!
cairo,Hear your business on local Cairo radio stations,Cheer for local Cairo!
san__salvador,¡Haz que tu negocio se escuche en las emisoras locales de San Salvador!,¡Apoya al equipo local de San Salvador!
malabo,Hear your business on local Malabo radio stations,Cheer for local Malabo!
asmara,Hear your business on local Asmara radio stations,Cheer for local Asmara!
tallinn,Hear your business on local Tallinn radio stations,Cheer for local Tallinn!
mbabane,Hear your business on local Mbabane radio stations,Cheer for local Mbabane!
addis__ababa,Hear your business on local Addis Ababa radio stations,Cheer for local Addis Ababa!
suva,Hear your business on local Suva radio stations,Cheer for local Suva!
helsinki,Hear your business on local Helsinki radio stations,Cheer for local Helsinki!
paris,Faites entendre votre entreprise sur les stations locales de Paris!,Allez l'équipe locale de Paris!
libreville,Faites entendre votre entreprise sur les stations locales de Libreville!,Allez l'équipe locale de Libreville!
banjul,Hear your business on local Banjul radio stations,Cheer for local Banjul!
tbilisi,Hear your business on local Tbilisi radio stations,Cheer for local Tbilisi!
berlin,Hören Sie Ihr Unternehmen auf lokalen Radiosendern in Berlin!,Unterstützen Sie das lokale Team von Berlin!
accra,Hear your business on local Accra radio stations,Cheer for local Accra!
athens,Hear your business on local Athens radio stations,Cheer for local Athens!
guatemala__city,¡Haz que tu negocio se escuche en las emisoras locales de Guatemala City!,¡Apoya al equipo local de Guatemala City!
conakry,Faites entendre votre entreprise sur les stations locales de Conakry!,Allez l'équipe locale de Conakry!
bissau,Hear your business on local Bissau radio stations,Cheer for local Bissau!
georgetown,Hear your business on local Georgetown radio stations,Cheer for local Georgetown!
portauprince,Hear your business on local Port-au-Prince radio stations,Cheer for local Port-au-Prince!
tegucigalpa,¡Haz que tu negocio se escuche en las emisoras locales de Tegucigalpa!,¡Apoya al equipo local de Tegucigalpa!
budapest,Hear your business on local Budapest radio stations,Cheer for local Budapest!
reykjavik,Hear your business on local Reykjavik radio stations,Cheer for local Reykjavik!
new__delhi,Hear your business on local New Delhi radio stations,Cheer for local New Delhi!
jakarta,Hear your business on local Jakarta radio stations,Cheer for local Jakarta!
tehran,Hear your business on local Tehran radio stations,Cheer for local Tehran!
baghdad,Hear your business on local Baghdad radio stations,Cheer for local Baghdad!
dublin,Hear your business on local Dublin radio stations,Cheer for local Dublin!
rome,Fai sentire la tua attività sulle stazioni locali di Rome!,Sostieni la squadra locale di Rome!
kingston,Hear your business on local Kingston radio stations,Cheer for local Kingston!
tokyo,Hear your business on local Tokyo radio stations,Cheer for local Tokyo!
amman,Hear your business on local Amman radio stations,Cheer for local Amman!
astana,Hear your business on local Astana radio stations,Cheer for local Astana!
nairobi,Hear your business on local Nairobi radio stations,Cheer for local Nairobi!
tarawa,Hear your business on local Tarawa radio stations,Cheer for local Tarawa!
kuwait__city,Hear your business on local Kuwait City radio stations,Cheer for local Kuwait City!
bishkek,Hear your business on local Bishkek radio stations,Cheer for local Bishkek!
vientiane,Hear your business on local Vientiane radio stations,Cheer for local Vientiane!
riga,Hear your business on local Riga radio stations,Cheer for local Riga!
beirut,Hear your business on local Beirut radio stations,Cheer for local Beirut!
maseru,Hear your business on local Maseru radio stations,Cheer for local Maseru!
monrovia,Hear your business on local Monrovia radio stations,Cheer for local Monrovia!
tripoli,Hear your business on local Tripoli radio stations,Cheer for local Tripoli!
vaduz,Hören Sie Ihr Unternehmen auf lokalen Radiosendern in Vaduz!,Unterstützen Sie das lokale Team von Vaduz!
vilnius,Hear your business on local Vilnius radio stations,Cheer for local Vilnius!
luxembourg,Faites entendre votre entreprise sur les stations locales de Luxembourg!,Allez l'équipe locale de Luxembourg!
antananarivo,Faites entendre votre entreprise sur les stations locales de Antananarivo!,Allez l'équipe locale de Antananarivo!
lilongwe,Hear your business on local Lilongwe radio stations,Cheer for local Lilongwe!
kuala__lumpur,Hear your business on local Kuala Lumpur radio stations,Cheer for local Kuala Lumpur!
malé,Hear your business on local Malé radio stations,Cheer for local Malé!
bamako,Faites entendre votre entreprise sur les stations locales de Bamako!,Allez l'équipe locale de Bamako!
valletta,Hear your business on local Valletta radio stations,Cheer for local Valletta!
majuro,Hear your business on local Majuro radio stations,Cheer for local Majuro!
nouakchott,Hear your business on local Nouakchott radio stations,Cheer for local Nouakchott!
port__louis,Faites entendre votre entreprise sur les stations locales de Port Louis!,Allez l'équipe locale de Port Louis!
mexico__city,¡Haz que tu negocio se escuche en las emisoras locales de Mexico City!,¡Apoya al equipo local de Mexico City!
palikir,Hear your business on local Palikir radio stations,Cheer for local Palikir!
chișinău,Hear your business on local Chișinău radio stations,Cheer for local Chișinău!
monaco,Faites entendre votre entreprise sur les stations locales de Monaco!,Allez l'équipe locale de Monaco!
ulaanbaatar,Hear your business on local Ulaanbaatar radio stations,Cheer for local Ulaanbaatar!
podgorica,Hear your business on local Podgorica radio stations,Cheer for local Podgorica!
rabat,Hear your business on local Rabat radio stations,Cheer for local Rabat!
maputo,Faça seu negócio ser ouvido nas rádios locais de Maputo!,Torça pelo time local de Maputo!
naypyidaw,Hear your business on local Naypyidaw radio stations,Cheer for local Naypyidaw!
windhoek,Hear your business on local Windhoek radio stations,Cheer for local Windhoek!
yaren,Hear your business on local Yaren radio stations,Cheer for local Yaren!
kathmandu,Hear your business on local Kathmandu radio stations,Cheer for local Kathmandu!
amsterdam,Hear your business on local Amsterdam radio stations,Cheer for local Amsterdam!
wellington,Hear your business on local Wellington radio stations,Cheer for local Wellington!
managua,¡Haz que tu negocio se escuche en las emisoras locales de Managua!,¡Apoya al equipo local de Managua!
niamey,Faites entendre votre entreprise sur les stations locales de Niamey!,Allez l'équipe locale de Niamey!
abuja,Hear your business on local Abuja radio stations,Cheer for local Abuja!
pyongyang,Hear your business on local Pyongyang radio stations,Cheer for local Pyongyang!
skopje,Hear your business on local Skopje radio stations,Cheer for local Skopje!
oslo,Hear your business on local Oslo radio stations,Cheer for local Oslo!
muscat,Hear your business on local Muscat radio stations,Cheer for local Muscat!
islamabad,Hear your business on local Islamabad radio stations,Cheer for local Islamabad!
ngerulmud,Hear your business on local Ngerulmud radio stations,Cheer for local Ngerulmud!
panama__city,¡Haz que tu negocio se escuche en las emisoras locales de Panama City!,¡Apoya al equipo local de Panama City!
port__moresby,Hear your business on local Port Moresby radio stations,Cheer for local Port Moresby!
asunción,¡Haz que tu negocio se escuche en las emisoras locales de Asunción!,¡Apoya al equipo local de Asunción!
lima,¡Haz que tu negocio se escuche en las emisoras locales de Lima!,¡Apoya al equipo local de Lima!
manila,Hear your business on local Manila radio stations,Cheer for local Manila!
warsaw,Hear your business on local Warsaw radio stations,Cheer for local Warsaw!
lisbon,Hear your business on local Lisbon radio stations,Cheer for local Lisbon!
doha,Hear your business on local Doha radio stations,Cheer for local Doha!
bucharest,Hear your business on local Bucharest radio stations,Cheer for local Bucharest!
moscow,Hear your business on local Moscow radio stations,Cheer for local Moscow!
kigali,Faites entendre votre entreprise sur les stations locales de Kigali!,Allez l'équipe locale de Kigali!
basseterre,Hear your business on local Basseterre radio stations,Cheer for local Basseterre!
castries,Hear your business on local Castries radio stations,Cheer for local Castries!
kingstown,Hear your business on local Kingstown radio stations,Cheer for local Kingstown!
apia,Hear your business on local Apia radio stations,Cheer for local Apia!
san__marino,Fai sentire la tua attività sulle stazioni locali di San Marino!,Sostieni la squadra locale di San Marino!
são__tomé,Hear your business on local São Tomé radio stations,Cheer for local São Tomé!
riyadh,Hear your business on local Riyadh radio stations,Cheer for local Riyadh!
dakar,Faites entendre votre entreprise sur les stations locales de Dakar!,Allez l'équipe locale de Dakar!
belgrade,Hear your business on local Belgrade radio stations,Cheer for local Belgrade!
victoria,Faites entendre votre entreprise sur les stations locales de Victoria!,Allez l'équipe locale de Victoria!
freetown,Hear your business on local Freetown radio stations,Cheer for local Freetown!
singapore,Hear your business on local Singapore radio stations,Cheer for local Singapore!
bratislava,Hear your business on local Bratislava radio stations,Cheer for local Bratislava!
ljubljana,Hear your business on local Ljubljana radio stations,Cheer for local Ljubljana!
honiara,Hear your business on local Honiara radio stations,Cheer for local Honiara!
mogadishu,Hear your business on local Mogadishu radio stations,Cheer for local Mogadishu!
pretoria,Hear your business on local Pretoria radio stations,Cheer for local Pretoria!
seoul,Hear your business on local Seoul radio stations,Cheer for local Seoul!
juba,Hear your business on local Juba radio stations,Cheer for local Juba!
madrid,¡Haz que tu negocio se escuche en las emisoras locales de Madrid!,¡Apoya al equipo local de Madrid!
sri__jayawardenepura__kotte,Hear your business on local Sri Jayawardenepura Kotte radio stations,Cheer for local Sri Jayawardenepura Kotte!
khartoum,Hear your business on local Khartoum radio stations,Cheer for local Khartoum!
paramaribo,Hear your business on local Paramaribo radio stations,Cheer for local Paramaribo!
stockholm,Hear your business on local Stockholm radio stations,Cheer for local Stockholm!
bern,Faites entendre votre entreprise sur les stations locales de Bern!,Allez l'équipe locale de Bern!
damascus,Hear your business on local Damascus radio stations,Cheer for local Damascus!
taipei,Hear your business on local Taipei radio stations,Cheer for local Taipei!
dushanbe,Hear your business on local Dushanbe radio stations,Cheer for local Dushanbe!
dodoma,Hear your business on local Dodoma radio stations,Cheer for local Dodoma!
bangkok,Hear your business on local Bangkok radio stations,Cheer for local Bangkok!
dili,Hear your business on local Dili radio stations,Cheer for local Dili!
lomé,Faites entendre votre entreprise sur les stations locales de Lomé!,Allez l'équipe locale de Lomé!
nukuʻalofa,Hear your business on local Nukuʻalofa radio stations,Cheer for local Nukuʻalofa!
port__of__spain,Hear your business on local Port of Spain radio stations,Cheer for local Port of Spain!
tunis,Hear your business on local Tunis radio stations,Cheer for local Tunis!
ankara,Hear your business on local Ankara radio stations,Cheer for local Ankara!
ashgabat,Hear your business on local Ashgabat radio stations,Cheer for local Ashgabat!
funafuti,Hear your business on local Funafuti radio stations,Cheer for local Funafuti!
kampala,Hear your business on local Kampala radio stations,Cheer for local Kampala!
kyiv,Hear your business on local Kyiv radio stations,Cheer for local Kyiv!
abu__dhabi,Hear your business on local Abu Dhabi radio stations,Cheer for local Abu Dhabi!
london,Hear your business on local London radio stations,Cheer for local London!
washington__dc,"Hear your business on local Washington, D.C. radio stations","Cheer for local Washington, D.C.!"
montevideo,¡Haz que tu negocio se escuche en las emisoras locales de Montevideo!,¡Apoya al equipo local de Montevideo!
tashkent,Hear your business on local Tashkent radio stations,Cheer for local Tashkent!
port__vila,Hear your business on local Port Vila radio stations,Cheer for local Port Vila!
vatican__city,Fai sentire la tua attività sulle stazioni locali di Vatican City!,Sostieni la squadra locale di Vatican City!
caracas,¡Haz que tu negocio se escuche en las emisoras locales de Caracas!,¡Apoya al equipo local de Caracas!
hanoi,Hear your business on local Hanoi radio stations,Cheer for local Hanoi!
sanaa,Hear your business on local Sana'a radio stations,Cheer for local Sana'a!
lusaka,Hear your business on local Lusaka radio stations,Cheer for local Lusaka!
harare,Hear your business on local Harare radio stations,Cheer for local Harare!
charleston__west__virginia,"Hear your business on local Charleston, West Virginia radio stations","Cheer for local Charleston, West Virginia!"
montgomery__alabama,"Hear your business on local Montgomery, Alabama radio stations","Cheer for local Montgomery, Alabama!"
juneau__alaska,"Hear your business on local Juneau, Alaska radio stations","Cheer for local Juneau, Alaska!"
phoenix__arizona,"Hear your business on local Phoenix, Arizona radio stations","Cheer for local Phoenix, Arizona!"
little__rock__arkansas,"Hear your business on local Little Rock, Arkansas radio stations","Cheer for local Little Rock, Arkansas!"
sacramento__california,"Hear your business on local Sacramento, California radio stations","Cheer for local Sacramento, California!"
london,Hear your business on local London radio stations,Cheer for local London!
manchester,Hear your business on local Manchester radio stations,Cheer for local Manchester!
birmingham,Hear your business on local Birmingham radio stations,Cheer for local Birmingham!
glasgow,Hear your business on local Glasgow radio stations,Cheer for local Glasgow!
liverpool,Hear your business on local Liverpool radio stations,Cheer for local Liverpool!
edinburgh,Hear your business on local Edinburgh radio stations,Cheer for local Edinburgh!
berlin,Hören Sie Ihr Unternehmen auf lokalen Radiosendern in Berlin!,Unterstützen Sie das lokale Team von Berlin!
hamburg,Hören Sie Ihr Unternehmen auf lokalen Radiosendern in Hamburg!,Unterstützen Sie das lokale Team von Hamburg!
munich,Hören Sie Ihr Unternehmen auf lokalen Radiosendern in Munich!,Unterstützen Sie das lokale Team von Munich!
cologne,Hören Sie Ihr Unternehmen auf lokalen Radiosendern in Cologne!,Unterstützen Sie das lokale Team von Cologne!
frankfurt,Hören Sie Ihr Unternehmen auf lokalen Radiosendern in Frankfurt!,Unterstützen Sie das lokale Team von Frankfurt!
stuttgart,Hören Sie Ihr Unternehmen auf lokalen Radiosendern in Stuttgart!,Unterstützen Sie das lokale Team von Stuttgart!
düsseldorf,Hören Sie Ihr Unternehmen auf lokalen Radiosendern in Düsseldorf!,Unterstützen Sie das lokale Team von Düsseldorf!
